trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
276,False,"{'a': 0.1, 'e': 0.5948204156489171}",25,12,2.9958493813458342,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
277,False,"{'a': 0.1, 'e': 0.592364606797888}",25,13,-9.099428600763757,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
278,False,"{'a': 0.1, 'e': 0.5899064888364997}",30,7,-50.9600654966024,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
279,False,"{'a': 0.1, 'e': 0.5874461232175731}",20,12,-30.750258571259536,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
280,False,"{'a': 0.1, 'e': 0.5849835714501204}",25,3,-160.41334170442929,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 3}",1
281,False,"{'a': 0.1, 'e': 0.5825188950978079}",20,7,-17.016211362593268,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
282,False,"{'a': 0.1, 'e': 0.5800521557774156}",25,13,-2.124938631412359,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
283,False,"{'a': 0.1, 'e': 0.5775834151572983}",20,0,-64.4323397814019,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
284,False,"{'a': 0.1, 'e': 0.5751127349558429}",30,5,12.41336937738669,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.1, 'e': 0.5726401769399256}",25,18,-14.857271768759155,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
286,False,"{'a': 0.1, 'e': 0.5701658029233684}",30,11,-59.73621645973079,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
287,False,"{'a': 0.1, 'e': 0.5676896747653923}",25,0,-6.399355042263087,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
288,False,"{'a': 0.1, 'e': 0.5652118543690727}",20,9,-85.55973965260428,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 2}",1
289,False,"{'a': 0.1, 'e': 0.5627324036797903}",20,13,-32.52392427307175,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
290,False,"{'a': 0.1, 'e': 0.5602513846836833}",25,12,-15.245442663826426,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
291,False,"{'a': 0.1, 'e': 0.5577688594060972}",20,5,-49.7245100146045,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
292,False,"{'a': 0.1, 'e': 0.5552848899100348}",30,24,13.371507231870607,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.1, 'e': 0.5527995382946039}",30,6,-72.32529902514736,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 1}",1
294,False,"{'a': 0.1, 'e': 0.5503128666934659}",30,1,-106.61026802345098,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 1}",1
295,False,"{'a': 0.1, 'e': 0.5478249372732807}",20,10,-66.83476913440674,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
296,False,"{'a': 0.1, 'e': 0.5453358122321549}",25,14,7.499758365497751,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
297,False,"{'a': 0.1, 'e': 0.5428455537980842}",25,0,-26.2973145394322,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
298,False,"{'a': 0.1, 'e': 0.5403542242274003}",35,21,-2.6695866482396933,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.1, 'e': 0.5378618858032124}",30,0,-71.63203648303674,"{0: 23, 1: 3, 2: 1, 3: 2, 4: 1}",0
300,False,"{'a': 0.1, 'e': 0.5353686008338514}",20,7,9.889805759280616,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
